,Date,Time,Aspect 0 of Phase C  State,Aspect 1 of Phase C  State,Aspect 2 of Phase C  State,Result,Phase
13035,24-Jun-17,17:53:45,1,1,0,RedAmber,C
13036,24-Jun-17,17:53:45,1,1,0,RedAmber,C
13327,24-Jun-17,17:53:45,1,1,0,RedAmber,C
13328,24-Jun-17,17:53:45,1,1,0,RedAmber,C
13329,24-Jun-17,17:53:45,1,1,0,RedAmber,C
13330,24-Jun-17,17:53:45,1,1,0,RedAmber,C
13331,24-Jun-17,17:53:45,1,1,0,RedAmber,C
13332,24-Jun-17,17:53:45,1,1,0,RedAmber,C
13333,24-Jun-17,17:53:45,1,1,0,RedAmber,C
13334,24-Jun-17,17:53:45,1,1,0,RedAmber,C
